year,gap,synthetic
1960,169.69313626737858,2114.3068637326214
1961,172.84135179002124,2215.1586482099788
1962,188.81933715699233,2338.1806628430077
1963,160.98098468564422,2449.019015314356
1964,181.9826860442663,2624.0173139557337
1965,225.37389522870535,2779.6261047712946
1966,162.23620578284044,3005.7637942171596
1967,59.56237062030232,3181.4376293796977
1968,88.69257547855113,3482.307424521449
1969,134.85996890595516,3863.140031094045
1970,78.26851730945145,4288.731482690549
1971,23.903562424299707,4662.0964375757
1972,-27.338571861485434,5082.338571861485
1973,-48.373012397027196,5601.373012397027
1974,-105.7944609531296,6179.79446095313
1975,-69.01824117629985,6672.0182411763
1976,63.28191162197345,7303.718088378027
1977,30.367345441298312,8059.632654558702
1978,140.66198441020242,8787.338015589798
1979,196.0834521739962,9870.916547826004
1980,175.5816484660536,10907.418351533946
1981,113.32140166168938,12001.67859833831
1982,46.67438264703378,12714.325617352966
1983,-22.013965102980364,13541.01396510298
1984,87.26602119904783,14393.733978800952
1985,15.547785430146178,15275.452214569854
1986,45.394720641405,15952.605279358595
1987,-8.779088732604578,16687.779088732605
1988,-69.45008475322174,17855.45008475322
1989,-169.6943687055027,19163.694368705503
1990,-1.4211370680422988,20466.421137068042
1991,255.5105972131896,21346.48940278681
1992,74.10263667280378,22079.897363327196
1993,-658.0212969570057,22536.021296957006
1994,-1079.3695442643511,23450.36954426435
1995,-1233.704466597479,24268.70446659748
1996,-1494.6584619963614,25236.65846199636
1997,-1982.9247177963189,26138.92471779632
1998,-2042.6925941408408,26973.69259414084
1999,-2201.3011491533107,27956.30114915331
2000,-2662.79058459547,29605.79058459547
2001,-2838.494369341781,30287.49436934178
2002,-2969.6534897776583,31317.65348977766
2003,-3390.952596135645,32245.952596135645
