config,seed,lam1,lam2,tau_hat,se_naive,denom_per_n,pred_mse_y
abl_nocrossfit_c2,590000,0.0001,0.0001,0.9496735312820048,0.04404820022008204,1.850281708067926e-10,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.00026366508987303583,0.3602137298080806,0.016707570839983955,1.286078285792114e-09,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.0006951927961775605,0.13664988530715813,0.006338117022057185,8.936615869083573e-09,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.0018329807108324356,0.05185903525280791,0.002405304096151047,6.205152877595966e-08,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.004832930238571752,0.019700466287587405,0.0009137090799863255,4.3000513712932426e-07,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.012742749857031334,0.007503648092414816,0.0003479909022224729,2.9644644338128706e-06,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.03359818286283781,0.002877592996315903,0.00013342529953551063,2.0164506670403362e-05,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.08858667904100823,0.001122618407684333,5.203147042947199e-05,0.00013258528039853754,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.23357214690901212,0.00045592622102503947,2.112387042059679e-05,0.0008043557603421631,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,0.615848211066026,0.00020080533083269137,9.323670634082505e-06,0.004130623679464411,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,1.623776739188721,0.00010031129758088732,4.720346128660405e-06,0.01615979620917607,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,4.281332398719396,5.7725280266723356e-05,2.8212814287954634e-06,0.045574263725372696,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,11.288378916846883,3.777113934140939e-05,1.9683543980798337e-06,0.09470908004337142,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,29.763514416313132,2.804691914757949e-05,1.56503974575849e-06,0.15144482919469118,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,78.47599703514607,2.3620155741725405e-05,1.381878403879332e-06,0.19556487294984426,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,206.913808111479,2.17786137563564e-05,1.3050653438849787e-06,0.2199648365079877,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,545.5594781168514,2.105240233982938e-05,1.2745915592561189e-06,0.23091490024680544,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,1438.44988828766,2.077271323687641e-05,1.262821164332475e-06,0.2353622298330411,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,3792.690190732246,2.0666008301453138e-05,1.2583252458327328e-06,0.2370946251627706,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.0001,10000.0,2.0625447347097936e-05,1.256615445755055e-06,0.23775843306899397,1.602154323564058e-09
abl_nocrossfit_c2,590000,0.00026366508987303583,0.0001,2.5037433712527353,0.11612912727295825,1.850281708067926e-10,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.00026366508987303583,0.9496766098723607,0.04404801127950456,1.286078285792114e-09,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.0006951927961775605,0.3602672236571526,0.01670987677471433,8.936615869083573e-09,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.0018329807108324356,0.13672247741808208,0.006341368400172364,6.205152877595966e-08,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.004832930238571752,0.05193881108942193,0.002408911985921279,4.3000513712932426e-07,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.012742749857031334,0.019782810452726094,0.0009174467740528783,2.9644644338128706e-06,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.03359818286283781,0.007586561543688685,0.00035176381626661447,2.0164506670403362e-05,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.08858667904100823,0.002959702057381599,0.0001371762895774451,0.00013258528039853754,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.23357214690901212,0.0012020178793575222,5.569117563415315e-05,0.0008043557603421631,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,0.615848211066026,0.0005294106870961391,2.458100795940234e-05,0.004130623679464411,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,1.623776739188721,0.00026446560901333794,1.2444756654082882e-05,0.01615979620917607,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,4.281332398719396,0.0001521905931443206,7.438044499374984e-06,0.045574263725372696,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,11.288378916846883,9.95827466708355e-05,5.189380990176373e-06,0.09470908004337142,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,29.763514416313132,7.394533473328774e-05,4.126079875369926e-06,0.15144482919469118,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,78.47599703514607,6.227435776213557e-05,3.643192460248231e-06,0.19556487294984426,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,206.913808111479,5.741920003590811e-05,3.440682187088262e-06,0.2199648365079877,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,545.5594781168514,5.550456874028344e-05,3.3603409784615517e-06,0.23091490024680544,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,1438.44988828766,5.47671778394615e-05,3.329309462485658e-06,0.2353622298330411,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,3792.690190732246,5.4485853833735497e-05,3.317456405166018e-06,0.2370946251627706,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.00026366508987303583,10000.0,5.437891622410557e-05,3.312948681489415e-06,0.23775843306899397,1.113604178767914e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.0001,6.6000086809826275,0.3061183118644584,1.850281708067926e-10,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.00026366508987303583,2.503401094331522,0.11611129062854374,1.286078285792114e-09,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.0006951927961775605,0.9496847269164626,0.04404751314938089,8.936615869083573e-09,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.0018329807108324356,0.3604081744825323,0.016715952535290388,6.205152877595966e-08,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.004832930238571752,0.1369136507363114,0.006349931988663365,4.3000513712932426e-07,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.012742749857031334,0.05214862040795306,0.002418404871215822,2.9644644338128706e-06,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.03359818286283781,0.019998620780113118,0.0009272551811578348,2.0164506670403362e-05,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.08858667904100823,0.007801958367403068,0.0003615988899637366,0.00013258528039853754,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.23357214690901212,0.003168603801087316,0.00014680277389687678,0.0008043557603421631,7.73799617298916e-08
abl_nocrossfit_c2,590000,0.0006951927961775605,0.615848211066026,0.0013955732512763918,6.479585553506798e-05,0.004130623679464411,7.73799617298916e-08
